,Unnamed: 0,name,id,review
0,0,Sungei Road Laksa,xsaHJx_tkVj1RArC2Fr3PA,the food has been phenomenal laksa was awesome it was cheap yet heavy
1,1,Sungei Road Laksa,xsaHJx_tkVj1RArC2Fr3PA,laksa is a popular southeast asia spicy noodle soup with rice noodle in coconut milk curry soup im not a big fan of curry but had to try it out it was
2,2,Sungei Road Laksa,xsaHJx_tkVj1RArC2Fr3PA,laska is not my thing and after trying this still not my thing i love noodles and soup but i prefer simpler and clear broth although im not a fan of
3,3,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,if you are a ramen fan and would like to try an alternative version one that has a local twist then you will like this placethe dish is a blend of
4,4,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,singaporean ramen may not be for me but the dishes served up at a noodle story were so fantastically unique that its worth your time star  how were
5,5,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,a noodle story might be my favorite stall in singapore i heard the wait can be long but i got there at  and waited about  mins to order and 
6,6,Song Fa Bak Kut Teh,CdAmgWWCabZQoYNNWOKcEw,best bak kut teh porkrib soup in singapore  too many good food in singapore and its hard to say which one is the best however if you ask for bak kut
7,7,Song Fa Bak Kut Teh,CdAmgWWCabZQoYNNWOKcEw,i tried the pork ribs soup and it was delicious honestly i think everyone in the restaurant was eating the same thing haha i couldve drank the broth all
8,8,Song Fa Bak Kut Teh,CdAmgWWCabZQoYNNWOKcEw,i get the hype  its one of the most consistent places in terms of both food quality and service even though the food is fairly simple  i find myself
9,9,Song Fa Bak Kut Teh,bkj4QMOWfQB2z0znv0PKPQ,another cheap michelin star restaurant selling the famous bak kut teh which means pork ribs tea it is just white pepper broth with a hint of vinegar even
10,10,Song Fa Bak Kut Teh,bkj4QMOWfQB2z0znv0PKPQ,i walked across the streets nearly swam over the oceans to arrive here just kidding it was pouring so hard outside even though i brought my umbrella
11,11,Song Fa Bak Kut Teh,bkj4QMOWfQB2z0znv0PKPQ,bak kut teh is a garlicky peppery flavorful pork soup that is a must try when in singapore it is delicious mixed with rice therere so many bak kut teh
12,12,328 Katong Laksa,2tGFUtUrE0DhwlX59pbArA,my go to when i visit homesingapore traditional nonya laksa that survived through generations and last stall standing on katong compared to back then when
13,13,328 Katong Laksa,2tGFUtUrE0DhwlX59pbArA,april  my first time trying laksa it was a bit spicy so dont skip out on the lime juice noodles were all cut up in to small pieces which im usually
